,forecast,vix,close_ae,close_mse,close_ql,forecast_DR,actual_DR,DA_DR,forecast_IDR,actual_IDR,DA_IDR,close_err
2017-01-09,11.507473811981772,11.56,0.05252618801822884,0.0027590004277263267,1.0354381512645006e-05,0.016425648196831583,0.020979790469194466,1,-0.017446456637757585,-0.01289231436539456,1,-0.05252618801822884
2017-01-10,11.534320121705507,11.49,0.04432012170550692,0.0019642731879909456,7.420220826004353e-06,-0.00222391382323512,-0.006073771383567135,1,-0.004815707930664015,-0.008665565490995966,1,0.04432012170550692
2017-01-11,11.408443039843956,11.26,0.14844303984395602,0.022035336078114313,8.614236135873199e-05,-0.007123393051868112,-0.020220469149120016,1,-0.013197164435435175,-0.026294240532687155,1,0.14844303984395602
2017-01-12,11.269009845541191,11.54,0.2709901544588078,0.07343566381360851,0.0002801120643454169,0.0007998439419486888,0.024562638368409127,1,-0.018549924237927354,0.00521287018853299,0,-0.2709901544588078
2017-01-13,11.685528897820648,11.23,0.4555288978206473,0.20750657674969375,0.0008011094109365846,0.012531968857916586,-0.02723049232960157,0,0.020361499937621427,-0.0194009612498968,0,0.4555288978206473
2017-01-17,11.373049121627444,11.87,0.49695087837255514,0.2469601755152541,0.0009016414223046443,0.012657675586868474,0.05542543987122477,1,-0.07018950740199054,-0.027421743117634203,1,-0.49695087837255514
2017-01-18,11.861556375710794,12.48,0.6184436242892062,0.38247251642396884,0.0012699714135215867,-0.0007115946810926061,0.05011315431970506,0,0.0060508993912044146,0.056875648392002175,1,-0.6184436242892062
2017-01-19,12.35113407692026,12.78,0.4288659230797389,0.18392597997903654,0.0005759780350833577,-0.010379475992527115,0.023754086008107057,0,-0.018360364323539935,0.015773197677094314,0,-0.4288659230797389
2017-01-20,12.821248938585287,11.54,1.2812489385852874,1.6415988426259256,0.005742164333971234,0.0032224189045041525,-0.10206218786943531,0,0.018995616581598315,-0.08628899019234103,0,1.2812489385852874
2017-01-23,11.466787202897848,11.77,0.30321279710215165,0.09193800032651059,0.00033763865466895915,-0.006364473543333583,0.019734660192231898,0,-0.07014447484175207,-0.04404534110618658,1,-0.30321279710215165
2017-01-24,11.609317301980825,11.07,0.5393173019808248,0.2908631522158762,0.001149572125751952,-0.013745929876955944,-0.06131517455163974,1,-0.017985020582722763,-0.06555426525740665,1,0.5393173019808248
2017-01-25,10.959778577584284,10.81,0.14977857758428392,0.02243362230317136,9.511070384848885e-05,-0.010006668179911433,-0.02376711506942858,1,0.015612299270590931,0.0018518523810737264,1,0.14977857758428392
2017-01-26,10.725653733412752,10.63,0.09565373341275141,0.009149636715797715,4.024498024790546e-05,-0.007833214530306725,-0.016791439297260277,1,0.010841464494918603,0.0018832397279648725,1,0.09565373341275141
2017-01-27,10.65806443423587,10.58,0.07806443423586984,0.006094055892566447,2.708790072691869e-05,0.0026366371241396923,-0.0047147659237033535,0,0.008297029595849843,0.0009456265480070302,1,0.07806443423586984
2017-01-30,10.716445144481353,11.88,1.1635548555186475,1.3538599018010204,0.005134495037463438,0.012814064561272058,0.1158908875043456,1,-0.03516561732686303,0.06791120561621057,0,-1.1635548555186475
2017-01-31,12.01371695607351,11.99,0.02371695607351043,0.0005624940053928233,1.9537873825470342e-06,0.0111927627081595,0.009216655104924048,1,-0.02273684693528491,-0.024712954538520474,1,0.02371695607351043
