,forecast,vix,close_ae,close_mse,close_ql,forecast_DR,actual_DR,DA_DR,forecast_IDR,actual_IDR,DA_IDR,close_err
2017-01-09,329514197.6651622,11.56,329514186.1051622,1.0857959884454747e+17,28504670.213760152,17.186558926716906,0.020979790469194466,1,17.152686821882316,-0.01289231436539456,0,329514186.1051622
2017-01-10,324088736.7318727,11.49,324088725.24187267,1.0503350182890203e+17,28206138.218480308,17.148977051816495,-0.006073771383567135,0,17.146385257709067,-0.008665565490995966,0,324088725.24187267
2017-01-11,320560672.5636785,11.26,320560661.3036785,1.027591375754517e+17,28468958.084669042,17.144105030519135,-0.020220469149120016,0,17.13803125913557,-0.026294240532687155,0,320560661.3036785
2017-01-12,318176648.3829047,11.54,318176636.8429047,1.0123637223266165e+17,27571615.17644589,17.156860661860424,0.024562638368409127,1,17.137510893680545,0.00521287018853299,1,318176636.8429047
2017-01-13,317967886.37097895,11.23,317967875.14097893,1.0110356962166917e+17,28314130.226789348,17.13164168831026,-0.02723049232960157,0,17.139471219389964,-0.0194009612498968,0,317967875.14097893
2017-01-17,316603060.94644606,11.87,316603049.07644606,1.0023749068450251e+17,26672522.83989831,17.154570604796177,0.05542543987122477,1,17.071723421807317,-0.027421743117634203,0,316603049.07644606
2017-01-18,317218723.6230919,12.48,317218711.14309186,1.0062771069928435e+17,25418148.906003803,17.101087865176865,0.05011315431970506,1,17.107850359249163,0.056875648392002175,1,317218711.14309186
2017-01-19,319400064.1586733,12.78,319400051.3786733,1.0201639282069915e+17,24992162.260032345,17.057827631676375,0.023754086008107057,1,17.049846743345363,0.015773197677094314,1,319400051.3786733
2017-01-20,322970335.36738837,11.54,322970323.82738835,1.043098300731681e+17,27987012.6471493,17.045189587052064,-0.10206218786943531,0,17.06096278472916,-0.08628899019234103,0,322970323.82738835
2017-01-23,321581300.80540293,11.77,321581289.03540295,1.0341452545767138e+17,27322097.493224826,17.14294168823688,0.019734660192231898,1,17.079161686938463,-0.04404534110618658,0,321581289.03540295
2017-01-24,322986570.3659665,11.07,322986559.2959665,1.0432031748584688e+17,29176727.10162932,17.12756738123602,-0.06131517455163974,0,17.123328290530253,-0.06555426525740665,0,322986559.2959665
2017-01-25,320436582.3929427,10.81,320436571.5829427,1.0267959640783038e+17,29642588.862153903,17.18095619717658,-0.02376711506942858,0,17.206575164627083,0.0018518523810737264,1,320436571.5829427
2017-01-26,316257708.298746,10.63,316257697.668746,1.0001893133473595e+17,29751412.48763724,17.191596340125024,-0.016791439297260277,0,17.21027101915025,0.0018832397279648725,1,316257697.668746
2017-01-27,310860080.03367525,10.58,310860069.45367527,9.66339827807438e+16,29381841.920716427,17.19117327312404,-0.0047147659237033535,0,17.19683366559575,0.0009456265480070302,1,310860069.45367527
2017-01-30,308142436.1359552,11.88,308142424.2559552,9.49517536263371e+16,25937897.428443152,17.187107262595212,0.1158908875043456,1,17.139127580707076,0.06791120561621057,1,308142424.2559552
2017-01-31,309313045.65598184,11.99,309313033.6659818,9.567455279565282e+16,25797567.059811708,17.075008100833212,0.009216655104924048,1,17.04107849118977,-0.024712954538520474,0,309313033.6659818
2017-02-01,310790810.97201204,11.81,310790799.16201204,9.659092084376211e+16,26315884.62151433,17.07055764125415,-0.01512633883015193,0,17.087378895744294,0.0016949156599915041,1,310790799.16201204
2017-02-02,311826655.90718716,11.93,311826643.97718716,9.723585589407542e+16,26138008.40116422,17.08901137112608,0.010109605900553674,1,17.042683814930957,-0.03621795029457178,0,311826643.97718716
2017-02-03,313391816.46364784,10.97,313391805.4936478,9.821442375056838e+16,28568059.90545819,17.083908539322003,-0.08389196182268584,0,17.09148114597597,-0.07631935516872072,0,313391805.4936478
2017-02-06,312273923.2206007,11.37,312273911.8506007,9.751499602247675e+16,27464706.869001303,17.164227045346397,0.035814033475305734,1,17.128413011871093,0.0,0,312273911.8506007
2017-02-07,311143354.8128237,11.29,311143343.5228237,9.681018021856187e+16,27559180.700112652,17.124786004128392,-0.00706092960087401,0,17.123028534431747,-0.008818399297520273,0,311143343.5228237
2017-02-08,309290772.4710007,11.45,309290761.0210007,9.566077485294976e+16,27012276.42714935,17.12587502545995,0.014072351838678037,1,17.134771881297688,0.022969207676414877,1,309290761.0210007
2017-02-09,308707073.8496487,10.88,308707062.9696487,9.530005072734666e+16,28373793.773733195,17.109913674174443,-0.051063488572452,0,17.11078741822304,-0.05018974452385516,0,308707062.9696487
2017-02-10,305509503.54849416,10.85,305509492.69849414,9.333605012889125e+16,28157539.777410425,17.150565202842657,-0.0027611614413281683,0,17.153326364283984,0.0,0,305509492.69849414
2017-02-13,304801037.79175055,11.07,304801026.72175056,9.29036658906333e+16,27533950.95594796,17.15100470661308,0.02007366673407691,1,17.10507137330654,-0.02585966657245966,0,304801026.72175056
2017-02-14,304184972.0211612,10.74,304184961.2811612,9.252849066962154e+16,28322604.93404654,17.12890778820878,-0.030263657639826934,0,17.119914921848217,-0.03925652400039068,0,304184961.2811612
2017-02-15,302193757.8380681,11.97,302193745.8680681,9.132106004177453e+16,25245909.928929675,17.152603862777784,0.10842843048916327,1,17.143335955847004,0.0991605235583817,1,302193745.8680681
2017-02-16,304772244.569322,11.76,304772232.809322,9.288611389157957e+16,25915989.1208975,17.052671796936295,-0.017699577099400975,0,17.048503387399116,-0.021867986636580638,0,304772232.809322
2017-02-17,306475261.9114141,11.49,306475250.4214141,9.392707912086846e+16,26673198.77736684,17.075943656067565,-0.023226850609816545,0,17.069163969082187,-0.030006537595195244,0,306475250.4214141
2017-02-21,307024561.13608116,11.57,307024549.56608117,9.426407403625502e+16,26536244.752656676,17.100961214191273,0.006938449344920854,1,17.053373646115272,-0.04064911873107888,0,307024549.56608117
2017-02-22,307390344.5257245,11.74,307390332.78572446,9.448881669011843e+16,26183145.848310184,17.095213437238854,0.014586273194365252,1,17.10302258755302,0.022395423508529955,1,307390332.78572446
2017-02-23,309854059.6435712,11.71,309854047.9335712,9.600953102081986e+16,26460618.9407331,17.088610154850695,-0.0025586367903243624,0,17.095447788328297,0.004278996687279784,1,309854047.9335712
2017-02-24,309219136.25494254,11.47,309219124.7849425,9.561646713276584e+16,26958930.125129923,17.089117584722505,-0.020708246468346694,0,17.08061413212286,-0.0292116990679916,0,309219124.7849425
2017-02-27,308659312.88675916,12.09,308659300.7967592,9.527056396834427e+16,25530115.351309817,17.108013748176308,0.05264373348542188,1,17.081345501094145,0.025975486403260736,1,308659300.7967592
2017-02-28,311299744.20588875,12.92,311299731.28588873,9.690752269866653e+16,24094389.4487859,17.063888149088328,0.06639783372775457,1,17.05565087022185,0.05816055486127573,1,311299731.28588873
2017-03-01,316417558.1293824,12.54,316417545.58938235,1.0012006315680886e+17,25232642.09425953,17.01379678741931,-0.02985296314968116,0,17.0621613455774,0.0185115950084124,1,316417545.58938235
2017-03-02,319175924.96514046,11.81,319175913.15514046,1.0187326353841776e+17,27025885.779746167,17.05232946244915,-0.05997690499550357,0,17.061140092131307,-0.051166275313348775,0,319175913.15514046
2017-03-03,318788237.02236,10.96,318788226.06236005,1.0162593307598637e+17,29086499.790707376,17.111090976318934,-0.07469434868940142,0,17.09846985800572,-0.08731546700261614,0,318788226.06236005
2017-03-06,316333229.90548044,11.24,316333218.66548043,1.0006670523126266e+17,28143507.639474634,17.17805445942773,0.025226562945675563,1,17.12216408359594,-0.030663812886115336,0,316333218.66548043
2017-03-07,314302717.5623117,11.45,314302706.1123117,9.878619106952219e+16,27450000.873197842,17.146388303661027,0.01851088553470361,1,17.14372282007489,0.01584540194856372,1,314302706.1123117
2017-03-08,310912701.44551253,11.86,310912689.5855125,9.666670054529726e+16,26215218.127719708,17.11703299799132,0.03518166356933067,1,17.113545636130905,0.03169430170891498,1,310912689.5855125
2017-03-09,310317271.26122797,12.3,310317258.96122795,9.629680120920981e+16,25229028.400495745,17.07993439418157,0.03642786880879243,1,17.08925254716098,0.0457460217882038,1,310317258.96122795
2017-03-10,312346557.983462,11.66,312346546.32346195,9.756036500019456e+16,26787851.363389514,17.050024629722365,-0.05343508145602558,0,17.077220372530856,-0.026239338647535516,0,312346546.32346195
