,forecast,vix,close_ae,close_mse,close_ql,forecast_DR,actual_DR,DA_DR,forecast_IDR,actual_IDR,DA_IDR,close_err
2017-01-09,11.621847395716882,11.56,0.06184739571688169,0.003825100356960556,1.4261052992292633e-05,0.026315650152956668,0.020979790469194466,1,-0.007556454681632454,-0.01289231436539456,1,0.06184739571688169
2017-01-10,11.726046549644531,11.49,0.23604654964453076,0.05571797359908792,0.0002081745160911197,0.014261705070274851,-0.006073771383567135,0,0.011669910962846001,-0.008665565490995966,0,0.23604654964453076
2017-01-11,11.534149924168242,11.26,0.2741499241682419,0.0751581809214528,0.0002916693058570008,0.0038351017020605933,-0.020220469149120016,0,-0.0022386696815065842,-0.026294240532687155,1,0.2741499241682419
2017-01-12,11.39418618879793,11.54,0.1458138112020695,0.021261667537272766,8.050696818395764e-05,0.011846619164343859,0.024562638368409127,1,-0.00750314901553228,0.00521287018853299,0,-0.1458138112020695
2017-01-13,11.745769396500448,11.23,0.5157693965004473,0.2660180703664356,0.0010234623879989968,0.017673863314496056,-0.02723049232960157,0,0.025503394394200917,-0.0194009612498968,0,0.5157693965004473
2017-01-17,11.433372634638207,11.87,0.43662736536179203,0.19064345618277984,0.0006935974051995863,0.01794773417943787,0.05542543987122477,1,-0.06489944880942101,-0.027421743117634203,1,-0.43662736536179203
2017-01-18,12.091776534157916,12.48,0.3882234658420849,0.15071745943044046,0.0004941171581631654,0.018511387654964694,0.05011315431970506,1,0.02527388172726164,0.056875648392002175,1,-0.3882234658420849
2017-01-19,12.489749477656,12.78,0.2902505223439995,0.08424536572096455,0.00026187436922930907,0.0007809031612565591,0.023754086008107057,1,-0.007199985169756208,0.015773197677094314,0,-0.2902505223439995
2017-01-20,12.99013455349156,11.54,1.4501345534915604,2.102890223230167,0.007290645307491905,0.01630873991592897,-0.10206218786943531,0,0.03208193759302321,-0.08628899019234103,0,1.4501345534915604
2017-01-23,11.701921379437898,11.77,0.06807862056210112,0.004634698577638537,1.679257458331307e-05,0.01393378770583012,0.019734660192231898,1,-0.04984621359258828,-0.04404534110618658,1,-0.06807862056210112
2017-01-24,11.822088107504877,11.07,0.7520881075048766,0.5656365214502669,0.0022083966078938477,0.004415733944791283,-0.06131517455163974,0,0.00017664323902447354,-0.06555426525740665,0,0.7520881075048766
2017-01-25,11.10411606785152,10.81,0.2941160678515189,0.08650426136843926,0.000363552004401857,0.0030771097856994705,-0.02376711506942858,0,0.028696077236201916,0.0018518523810737264,1,0.2941160678515189
