,forecast,vix,close_ae,close_mse,close_ql,forecast_DR,actual_DR,DA_DR,forecast_IDR,actual_IDR,DA_IDR,close_err
2017-01-09,11.566556761003232,11.56,0.00655676100323177,4.299111485350089e-05,1.6079363862608886e-07,0.021546823533966895,0.020979790469194466,1,-0.0123252813006222,-0.01289231436539456,1,0.00655676100323177
2017-01-10,11.789793254987462,11.49,0.29979325498746157,0.08987599573597715,0.0003345801903451573,0.019683315526824216,-0.006073771383567135,0,0.01709152141939533,-0.008665565490995966,0,0.29979325498746157
2017-01-11,11.682763753988809,11.26,0.42276375398880894,0.17872919168671017,0.0006876769935719729,0.01663748032167809,-0.020220469149120016,0,0.010563708938111125,-0.026294240532687155,0,0.42276375398880894
2017-01-12,11.4719291182515,11.54,0.06807088174849873,0.004633644942018098,1.7465989596399112e-05,0.018646482452599856,0.024562638368409127,1,-0.000703285727276383,0.00521287018853299,0,-0.06807088174849873
2017-01-13,11.73687359098533,11.23,0.5068735909853288,0.2569208372383624,0.0009889653238572826,0.01691621385013226,-0.02723049232960157,0,0.02474574492983699,-0.0194009612498968,0,0.5068735909853288
2017-01-17,11.440094820198324,11.87,0.42990517980167553,0.18481846362031096,0.0006721431721834481,0.018535505645825137,0.05542543987122477,1,-0.06431167734303375,-0.027421743117634203,1,-0.42990517980167553
2017-01-18,12.034470761970844,12.48,0.445529238029156,0.19849630193884035,0.0006528094067030921,0.013760886737588735,0.05011315431970506,1,0.020523380809885878,0.056875648392002175,1,-0.445529238029156
2017-01-19,12.55430896920467,12.78,0.22569103079533015,0.05093644138145866,0.00015779307092178563,0.005936587867127997,0.023754086008107057,1,-0.002044300463884689,0.015773197677094314,0,-0.22569103079533015
2017-01-20,12.863720715994543,11.54,1.3237207159945434,1.7522365339531067,0.006115427153219111,0.006529552741170924,-0.10206218786943531,0,0.02230275041826506,-0.08628899019234103,0,1.3237207159945434
2017-01-23,11.73424707705959,11.77,0.03575292294040899,0.0012782714987828237,4.622966899736625e-06,0.01669240570957943,0.019734660192231898,1,-0.047087595588839,-0.04404534110618658,1,-0.03575292294040899
2017-01-24,11.965531173980018,11.07,0.895531173980018,0.8019760835700294,0.003105757385592156,0.016476193083546423,-0.06131517455163974,0,0.01223710237777977,-0.06555426525740665,0,0.895531173980018
2017-01-25,11.315947261729605,10.81,0.5059472617296041,0.25598263165168456,0.001062270709673685,0.021974246203284937,-0.02376711506942858,0,0.047593213653787124,0.0018518523810737264,1,0.5059472617296041
2017-01-26,11.070876940181249,10.63,0.4408769401812478,0.19437247638357955,0.0008370137565349989,0.023846329653753964,-0.016791439297260277,0,0.042521008678979025,0.0018832397279648725,1,0.4408769401812478
2017-01-27,10.899846274236733,10.58,0.31984627423673295,0.10230163914311938,0.0004479574221132321,0.025068493500755604,-0.0047147659237033535,0,0.03072888597246584,0.0009456265480070302,1,0.31984627423673295
2017-01-30,10.846692575817297,11.88,1.0333074241827038,1.0677242328710943,0.004017372731253355,0.024894775363773707,0.1158908875043456,1,-0.023084906524361352,0.06791120561621057,0,-1.0333074241827038
2017-01-31,12.042291980854253,11.99,0.05229198085425324,0.0027344512616615875,9.482904748558951e-06,0.013568471687602559,0.009216655104924048,1,-0.020361137955841806,-0.024712954538520474,1,0.05229198085425324
2017-02-01,12.09890304682788,11.81,0.2889030468278797,0.08346497046643206,0.00029441705800636875,0.009041822166700315,-0.01512633883015193,0,0.025863076656843596,0.0016949156599915041,1,0.2889030468278797
2017-02-02,11.93757857163005,11.93,0.00757857163005049,5.743474795180614e-05,2.0168795411557028e-07,0.010744657492570378,0.010109605900553674,1,-0.03558289870255513,-0.03621795029457178,1,0.00757857163005049
2017-02-03,12.051600561274078,10.97,1.0816005612740778,1.1698597741484,0.004563019050342509,0.010141241667908637,-0.08389196182268584,0,0.017713848321873584,-0.07631935516872072,0,1.0816005612740778
2017-02-06,11.203154261421123,11.37,0.16684573857887663,0.027837500481930844,0.0001087311890120013,0.02103109484751824,0.035814033475305734,1,-0.014782938627787397,0.0,0,-0.16684573857887663
2017-02-07,11.572682533908182,11.29,0.2826825339081829,0.07990941497675096,0.0003083225286308888,0.017669059111255377,-0.00706092960087401,0,0.015911589414609167,-0.008818399297520273,0,0.2826825339081829
