,forecast,vix,close_ae,close_mse,close_ql,forecast_DR,actual_DR,DA_DR,forecast_IDR,actual_IDR,DA_IDR,close_err
2017-01-09,11.474656131453846,11.56,0.08534386854615406,0.0072835758984232234,2.738691397174975e-05,0.013569715964725046,0.020979790469194466,1,-0.020302388869864223,-0.01289231436539456,1,-0.08534386854615406
2017-01-10,11.669074602960327,11.49,0.17907460296032696,0.03206771342539874,0.0001202027989657406,0.009391282820106484,-0.006073771383567135,0,0.006799488712677643,-0.008665565490995966,0,0.17907460296032696
2017-01-11,11.615288710307262,11.26,0.3552887103072617,0.12623006767179734,0.0004875715512426826,0.010845130730122454,-0.020220469149120016,0,0.004771359346555351,-0.026294240532687155,0,0.3552887103072617
2017-01-12,11.401130008435276,11.54,0.13886999156472335,0.019284874557186336,7.299228198953678e-05,0.012455851323445254,0.024562638368409127,1,-0.006893916856430795,0.00521287018853299,0,-0.13886999156472335
2017-01-13,11.64123621298228,11.23,0.4112362129822795,0.16911522286800676,0.0006545594758216033,0.008734379448564245,-0.02723049232960157,0,0.016563910528269176,-0.0194009612498968,0,0.4112362129822795
2017-01-17,11.366277625896439,11.87,0.5037223741035604,0.2537362301725272,0.0009267457666810586,0.012062099824546977,0.05542543987122477,1,-0.07078508316431187,-0.027421743117634203,1,-0.5037223741035604
2017-01-18,11.936890118149336,12.48,0.5431098818506648,0.29496834376384307,0.0009753279985780239,0.005619406301041679,0.05011315431970506,1,0.012381900373338894,0.056875648392002175,1,-0.5431098818506648
2017-01-19,12.513667169712441,12.78,0.26633283028755805,0.0709331764889812,0.0002202137851963215,0.0026940576464196905,0.023754086008107057,1,-0.0052868306845931835,0.015773197677094314,0,-0.26633283028755805
2017-01-20,12.764950333079987,11.54,1.2249503330799882,1.500503318512774,0.005264310367010028,-0.0011782891307269947,-0.10206218786943531,1,0.01459490854636714,-0.08628899019234103,0,1.2249503330799882
2017-01-23,11.65563036137179,11.77,0.11436963862820981,0.013080414239947302,4.751857480211896e-05,0.009970095005007592,0.019734660192231898,1,-0.053809906293410856,-0.04404534110618658,1,-0.11436963862820981
2017-01-24,11.846634865014671,11.07,0.776634865014671,0.6031617135563563,0.002351614811417768,0.006489928343778164,-0.06131517455163974,0,0.00225083763801122,-0.06555426525740665,0,0.776634865014671
2017-01-25,11.224769277605661,10.81,0.41476927760566085,0.17203355364552175,0.0007177884238263044,0.013884132362957803,-0.02376711506942858,0,0.039503099813460174,0.0018518523810737264,1,0.41476927760566085
2017-01-26,10.981647102908425,10.63,0.3516471029084247,0.12365568498388824,0.0005353887156336334,0.015753802552338946,-0.016791439297260277,0,0.03442848157756412,0.0018832397279648725,1,0.3516471029084247
2017-01-27,10.813184938773043,10.58,0.23318493877304292,0.05437521567058777,0.00023937358521908259,0.017086024836355896,-0.0047147659237033535,0,0.022746417308066105,0.0009456265480070302,1,0.23318493877304292
2017-01-30,10.759276065926876,11.88,1.1207239340731245,1.2560221364043411,0.004751010094952601,0.016802845921756217,0.1158908875043456,1,-0.03117683596637885,0.06791120561621057,0,-1.1207239340731245
2017-01-31,11.910306437526485,11.99,0.07969356247351556,0.006351063899720127,2.218747489490802e-05,0.0025477985329885548,0.009216655104924048,1,-0.03138181111045582,-0.024712954538520474,1,-0.07969356247351556
2017-02-01,12.0373101566814,11.81,0.22731015668139953,0.0516699073305224,0.0001828855632663995,0.003938036968258307,-0.01512633883015193,0,0.020759291458401625,0.0016949156599915041,1,0.22731015668139953
2017-02-02,11.878731101352736,11.93,0.05126889864726358,0.002628499968503386,9.260694846968676e-06,0.005802868370227977,0.010109605900553674,1,-0.04052468782489761,-0.03621795029457178,1,-0.05126889864726358
2017-02-03,11.994217631035305,10.97,1.0242176310353042,1.0490217557235704,0.004104931152286495,0.005368433463979734,-0.08389196182268584,0,0.012941040117944756,-0.07631935516872072,0,1.0242176310353042
