,forecast,vix,close_ae,close_mse,close_ql,forecast_DR,actual_DR,DA_DR,forecast_IDR,actual_IDR,DA_IDR,close_err
2017-01-09,11.48501613699066,11.56,0.07498386300934001,0.005622579711803469,2.112871499648783e-05,0.014472168414289771,0.020979790469194466,1,-0.0193999364202995,-0.01289231436539456,1,-0.07498386300934001
2017-01-10,11.672262607055494,11.49,0.18226260705549358,0.03321965793066526,0.0001244980210530766,0.009664446614134731,-0.006073771383567135,0,0.007072652506705717,-0.008665565490995966,0,0.18226260705549358
2017-01-11,11.620835866027058,11.26,0.36083586602705786,0.13020252221149686,0.0005027545162019642,0.01132259036905251,-0.020220469149120016,0,0.005248818985485479,-0.026294240532687155,0,0.36083586602705786
2017-01-12,11.418819108311956,11.54,0.12118089168804325,0.01468480851030927,5.5523955246661316e-05,0.014006170592707992,0.024562638368409127,1,-0.005343597587168028,0.00521287018853299,0,-0.12118089168804325
2017-01-13,11.654449704128197,11.23,0.4244497041281967,0.18015755133451372,0.0006967683871963448,0.009868794860067262,-0.02723049232960157,0,0.01769832593977217,-0.0194009612498968,0,0.4244497041281967
2017-01-17,11.384364372922906,11.87,0.48563562707709274,0.2358419622865611,0.0008604826659257547,0.013652098984819408,0.05542543987122477,1,-0.06919508400403968,-0.027421743117634203,1,-0.48563562707709274
2017-01-18,11.951526219190868,12.48,0.5284737808091329,0.2792845370026994,0.000922720118240683,0.006844778687912064,0.05011315431970506,1,0.0136072727602093,0.056875648392002175,1,-0.5284737808091329
2017-01-19,12.533564794952694,12.78,0.24643520504730532,0.06073031028670742,0.0001883398156239391,0.004282866298327708,0.023754086008107057,1,-0.0036980220326850947,0.015773197677094314,0,-0.24643520504730532
2017-01-20,12.78783624668786,11.54,1.2478362466878608,1.5570952985480477,0.005456225724306707,0.0006129769338022776,-0.10206218786943531,0,0.016386174610896472,-0.08628899019234103,0,1.2478362466878608
2017-01-23,11.675936616981087,11.77,0.09406338301891282,0.008847920024962696,3.210553190902132e-05,0.01171076340977806,0.019734660192231898,1,-0.05206923788864052,-0.04404534110618658,1,-0.09406338301891282
2017-01-24,11.861925857686487,11.07,0.7919258576864863,0.6271465640724769,0.002443001587195015,0.007779841719022967,-0.06131517455163974,0,0.0035407510132560317,-0.06555426525740665,0,0.7919258576864863
2017-01-25,11.256462892321105,10.81,0.4464628923211045,0.19932911421972613,0.0008301037416640344,0.016703696297242592,-0.02376711506942858,0,0.04232266374774503,0.0018518523810737264,1,0.4464628923211045
2017-01-26,11.021075824527683,10.63,0.3910758245276824,0.15294030053000665,0.0006605922317775015,0.01933779203894729,-0.016791439297260277,0,0.0380124710641727,0.0018832397279648725,1,0.3910758245276824
2017-01-27,10.81402136925495,10.58,0.23402136925495043,0.054766001267961856,0.0002410814459330446,0.01716337467714537,-0.0047147659237033535,0,0.02282376714885582,0.0009456265480070302,1,0.23402136925495043
2017-01-30,10.765183902680805,11.88,1.1148160973191956,1.2428149308420022,0.004699361043675188,0.017351787629088213,0.1158908875043456,1,-0.030627894259046884,0.06791120561621057,0,-1.1148160973191956
2017-01-31,11.939200901158525,11.99,0.05079909884147504,0.002580548443105951,9.000621552068822e-06,0.0049708655891705315,0.009216655104924048,1,-0.028958744054274045,-0.024712954538520474,1,-0.05079909884147504
2017-02-01,12.06235554302533,11.81,0.25235554302532925,0.0636833200956088,0.00022509385582480945,0.006016521846227341,-0.01512633883015193,0,0.022837776336370685,0.0016949156599915041,1,0.25235554302532925
2017-02-02,11.900616572355442,11.93,0.02938342764455726,0.0008633858201429317,3.03814060576002e-06,0.00764358136895411,0.010109605900553674,1,-0.038683974826171336,-0.03621795029457178,1,-0.02938342764455726
2017-02-03,12.010516294553959,10.97,1.0405162945539583,1.0826741592322997,0.004232725561452044,0.006726387780306912,-0.08389196182268584,0,0.014298994434271992,-0.07631935516872072,0,1.0405162945539583
2017-02-06,11.153614354362553,11.37,0.21638564563744644,0.04682274763793454,0.00018342574233631836,0.016599328433281775,0.035814033475305734,1,-0.01921470504202389,0.0,0,-0.21638564563744644
2017-02-07,11.479828612533765,11.29,0.18982861253376626,0.03603490213649476,0.00013978839557449163,0.009613153795736391,-0.00706092960087401,0,0.00785568409909009,-0.008818399297520273,0,0.18982861253376626
2017-02-08,11.415122361260659,11.45,0.034877638739340355,0.0012164496840319351,4.648750449476324e-06,0.011021621102259809,0.014072351838678037,1,0.019918476939996713,0.022969207676414877,1,-0.034877638739340355
2017-02-09,11.564233858333688,10.88,0.6842338583336876,0.4681759728902048,0.0018983359070454675,0.009927316911466599,-0.051063488572452,0,0.010801060960063278,-0.05018974452385516,0,0.6842338583336876
2017-02-10,11.059474636011522,10.85,0.20947463601152272,0.04387962313215993,0.0001840043508596345,0.01636125227339022,-0.0027611614413281683,0,0.019122413714718497,0.0,0,0.20947463601152272
2017-02-13,11.021334077105982,11.07,0.04866592289401872,0.0023683720511265753,9.691697660851872e-06,0.01566777603966641,0.02007366673407691,1,-0.030265557266870358,-0.02585966657245966,1,-0.04866592289401872
2017-02-14,11.230514647915166,10.74,0.4905146479151661,0.24060461981933934,0.0010122483540946359,0.014395848933002815,-0.030263657639826934,0,0.005402982572438991,-0.03925652400039068,0,0.4905146479151661
2017-02-15,10.91968107298195,11.97,1.0503189270180506,1.1031698484523491,0.004090813343732291,0.016591675038659864,0.10842843048916327,1,0.007323768107878345,0.0991605235583817,1,-1.0503189270180506
2017-02-16,12.057661463982782,11.76,0.2976614639827826,0.08860234714037338,0.00031502741138433876,0.007296744467342557,-0.017699577099400975,0,0.0031283349301627623,-0.021867986636580638,0,0.2976614639827826
2017-02-17,11.83969011294858,11.49,0.3496901129485792,0.12228317509399009,0.00045393615789524056,0.006753513750006135,-0.023226850609816545,0,-2.6173235372583093e-05,-0.030006537595195244,1,0.3496901129485792
2017-02-21,11.601461622187664,11.57,0.03146162218766335,0.0009898336706792709,3.690448073134789e-06,0.009654000226809916,0.006938449344920854,1,-0.03793356784918976,-0.04064911873107888,1,0.03146162218766335
2017-02-22,11.69279093343888,11.74,0.047209066561119784,0.002228695965572238,8.106826040910065e-06,0.010556951158688802,0.014586273194365252,1,0.01836610147285369,0.022395423508529955,1,-0.047209066561119784
2017-02-23,11.81962881049514,11.71,0.1096288104951384,0.012018476090578966,4.355174507719717e-05,0.006759793573491541,-0.0025586367903243624,0,0.013597427051095587,0.004278996687279784,1,0.1096288104951384
2017-02-24,11.798196455886089,11.47,0.32819645588608815,0.107712913656189,0.00040172014832617897,0.007503499458836033,-0.020708246468346694,0,-0.0009999531408088616,-0.0292116990679916,1,0.32819645588608815
2017-02-27,11.582254222026137,12.09,0.507745777973863,0.2578057750502834,0.0009073769180940605,0.009739187173294582,0.05264373348542188,1,-0.016929059908866714,0.025975486403260736,0,-0.507745777973863
2017-02-28,12.153324233344152,12.92,0.7666757666558475,0.5877917311773315,0.0018335369198836382,0.005224067190545096,0.06639783372775457,1,-0.003013211675933675,0.05816055486127573,0,-0.7666757666558475
2017-03-01,12.90632834194774,12.54,0.36632834194774055,0.13419645411418074,0.0004185614228298107,-0.0010587381332972272,-0.02985296314968116,1,0.047305820024796504,0.0185115950084124,1,0.36632834194774055
2017-03-02,12.630602946937806,11.81,0.8206029469378056,0.6733891965230109,0.002307693817738432,0.007199139284794003,-0.05997690499550357,0,0.0160097689669487,-0.051166275313348775,0,0.8206029469378056
2017-03-03,11.874023300315509,10.96,0.9140233003155078,0.835438593519653,0.003295469901370307,0.005406467934365878,-0.07469434868940142,0,-0.007214650378849005,-0.08731546700261614,1,0.9140233003155078
2017-03-06,11.117422192619932,11.24,0.1225778073800683,0.015025318862105124,5.9900850079008805e-05,0.014261163218366204,0.025226562945675563,1,-0.041629212613424595,-0.030663812886115336,1,-0.1225778073800683
2017-03-07,11.356946995985984,11.45,0.09305300401401517,0.008658861556032325,3.320326654976391e-05,0.010350782354266003,0.01851088553470361,1,0.007685298768126073,0.01584540194856372,1,-0.09305300401401517
2017-03-08,11.549601114600689,11.86,0.3103988853993105,0.09634746805713429,0.0003485799650093657,0.008661170838780758,0.03518166356933067,1,0.005173808978365137,0.03169430170891498,1,-0.3103988853993105
2017-03-09,11.930305683529348,12.3,0.3696943164706532,0.13667388763070348,0.0004609550077612212,0.0059104653074823175,0.03642786880879243,1,0.015228618286893685,0.0457460217882038,1,-0.3696943164706532
2017-03-10,12.350577914337666,11.66,0.6905779143376662,0.4768978557709611,0.0016875604810544509,0.004103594283989103,-0.05343508145602558,0,0.031299337092479215,-0.026239338647535516,0,0.6905779143376662
2017-03-13,11.773505757805232,11.35,0.42350575780523236,0.17935712689418412,0.0006792942528204282,0.009687551378256444,-0.026946436994934715,0,-0.03230014423741814,-0.06893413261060927,1,0.42350575780523236
2017-03-14,11.47554148052088,12.3,0.824458519479121,0.6797318503417041,0.0023521717749857007,0.01100019875084264,0.08038151845096032,1,0.007482165219163479,0.07686348491928109,1,-0.824458519479121
2017-03-15,12.336546614173207,11.63,0.706546614173206,0.49920811799962117,0.0017739136495036334,0.00296686394837313,-0.05601129584779873,0,0.017709145685576657,-0.04126901411059518,0,0.706546614173206
2017-03-16,11.771803263632975,11.21,0.5618032636329744,0.3156229070286613,0.0012153781037826938,0.012119151471387644,-0.03678172944650449,0,0.04178973984039009,-0.0071111410775020105,0,0.5618032636329744
2017-03-17,11.340928917675445,11.28,0.060928917675445504,0.0037123330091012154,1.4535780162860945e-05,0.011611972999603773,0.006225008985844233,1,-0.00343921861451264,-0.008826182628272184,1,0.060928917675445504
2017-03-20,11.407112569032337,11.34,0.06711256903233753,0.004504096922120271,1.744384962210077e-05,0.01120582434412202,0.005305052229693319,1,-0.026206107195591195,-0.03210687931002002,1,0.06711256903233753
2017-03-21,11.458376083394505,12.47,1.0116239166054957,1.0233829486482429,0.00348014906765437,0.010384699926489351,0.09498946139233903,1,0.027281500319967608,0.11188626178581738,1,-1.0116239166054957
