,forecast-3d,vix,close_ae,close_mse,close_ql,forecast_3DR,actual_3DR,DA_3DR,forecast_I3DR,actual_I3DR,DA_I3DR,close_err
2017-01-11,20614019625.058365,11.26,20614019613.798367,4.2493780463806376e+20,1830729962.1354623,21.32266617281125,-0.00531445006349259,0,21.28879406797666,-0.03918655489808176,0,20614019613.798367
2017-01-12,19898439782.75146,11.54,19898439771.21146,3.9594790532853e+20,1724301518.6982434,21.266356299482148,-0.0017316021642780463,0,21.26376450537472,-0.004323396271706919,0,19898439771.21146
2017-01-13,19813384663.45981,11.23,19813384652.22981,3.9257021137721577e+20,1764326305.7107291,21.268146447509846,-0.022888323110312428,0,21.262072676126277,-0.02896209449387965,0,19813384652.22981
2017-01-17,20017276816.966644,11.87,20017276805.096645,4.006913706918602e+20,1686375446.7488153,21.298604955741418,0.05275758591003237,1,21.279255187561542,0.03340781773015631,1,20017276805.096645
2017-01-18,19435959709.92538,12.48,19435959697.44538,3.7775652936072115e+20,1557368544.3341677,21.244571519446726,0.07830810186132829,1,21.252401050526434,0.08613763294103312,1,19435959697.44538
2017-01-19,19834947936.773014,12.78,19834947923.993015,3.934251591475148e+20,1552030332.8272338,21.292122497342827,0.12929268019903686,1,21.209275314353967,0.04644549721017794,1,19834947923.993015
2017-01-20,18509580873.643646,11.54,18509580862.103645,3.4260458369075354e+20,1603949793.5446157,21.167540111414745,-0.028194947541623175,0,21.174302605487043,-0.02143245346932608,0,18509580862.103645
2017-01-23,17321578491.93883,11.77,17321578480.16883,3.0003708104464794e+20,1471671897.3413827,21.05109150993467,-0.058573441669096275,0,21.043110621603656,-0.0665543300001092,0,17321578480.16883
2017-01-24,16875310313.894321,11.07,16875310302.824322,2.847760978166087e+20,1524418253.7263339,21.001236013558056,-0.14364270222884315,0,21.017009211235152,-0.12786950455174892,0,16875310302.824322
2017-01-25,19182045812.40319,10.81,19182045801.59319,3.679508811344189e+20,1774472300.7747564,21.231421303471063,-0.0653476294288365,0,21.167641302172644,-0.12912763072725486,0,19182045801.59319
2017-01-26,18793641465.984764,10.63,18793641455.354763,3.532009591524291e+20,1767981300.9415865,21.191230508406452,-0.10187372891832869,0,21.186991417700686,-0.10611281962409556,0,18793641455.354763
2017-01-27,20023829135.734863,10.58,20023829125.15486,4.009537328334001e+20,1892611427.1411266,21.315950111345245,-0.045273320290392244,0,21.341569078795747,-0.019654352839889883,0,20023829125.15486
2017-01-30,20315370067.483627,11.88,20315370055.603626,4.127142604961165e+20,1710047963.2186325,21.354171951033926,0.09438468228338205,1,21.37284663005915,0.11305936130860714,1,20315370055.603626
2017-01-31,20363154367.890007,11.99,20363154355.900005,4.1465805532220935e+20,1698344795.752919,21.373312753935124,0.1203927766855662,1,21.378973146406835,0.12605316915727657,1,20363154355.900005
2017-02-01,20257352277.38461,11.81,20257352265.574608,4.103603208115807e+20,1715271127.3886964,21.372818213599274,0.10998120377911771,1,21.324838531711137,0.0620015218909825,1,20257352265.574608
2017-02-02,17739406937.535717,11.93,17739406925.605717,3.146865580722281e+20,1486957810.0288465,21.12419806853045,0.004199922175325774,1,21.090268458887003,-0.0297296874681187,0,17739406925.605717
2017-02-03,17477644270.835724,10.97,17477644259.865723,3.054680488744172e+20,1593221880.3484163,21.10011546193781,-0.08890869475228398,0,21.116936716427958,-0.07208744026214052,0,17477644259.865723
