,forecast-3d,vix,close_ae,close_mse,close_ql,forecast_3DR,actual_3DR,DA_3DR,forecast_I3DR,actual_I3DR,DA_I3DR,close_err
2017-01-11,11.958803346723547,11.26,0.6988033467235475,0.4883261173920305,0.0018496218027386213,0.0548966161198743,-0.00531445006349259,0,0.02102451128528512,-0.03918655489808176,0,0.6988033467235475
2017-01-12,12.109465943983063,11.54,0.5694659439830634,0.3242914613565215,0.001178940428813391,0.046436592934037006,-0.0017316021642780463,0,0.04384479882660819,-0.004323396271706919,0,0.5694659439830634
2017-01-13,12.043750813829082,11.23,0.8137508138290812,0.662190387007492,0.002505075408399726,0.047068828892604136,-0.022888323110312428,0,0.04099505750903698,-0.02896209449387965,0,0.8137508138290812
2017-01-17,11.862836304367274,11.87,0.007163695632725009,5.131853511832337e-05,1.8218708874861989e-07,0.05215389103273916,0.05275758591003237,1,0.03280412285286308,0.03340781773015631,1,-0.007163695632725009
2017-01-18,12.065782090696375,12.48,0.4142179093036251,0.17157647638786622,0.0005633052611804246,0.044554258995690495,0.07830810186132829,1,0.052383790075395474,0.08613763294103312,1,-0.4142179093036251
2017-01-19,11.825094320537378,12.78,0.9549056794626214,0.9118448566699706,0.0029387839748546973,0.05163514196263106,0.12929268019903686,1,-0.0312120410262279,0.04644549721017794,0,-0.9549056794626214
2017-01-20,12.30033652727245,11.54,0.7603365272724503,0.5781116347047295,0.0020796865589642888,0.035612413323368425,-0.028194947541623175,0,0.04237490739566542,-0.02143245346932608,0,0.7603365272724503
2017-01-23,12.768242223284009,11.77,0.9982422232840094,0.996487536347002,0.0034053330114298674,0.022833648708089817,-0.058573441669096275,0,0.014852760377076855,-0.0665543300001092,0,0.9982422232840094
2017-01-24,13.01827736380618,11.07,1.948277363806179,3.7957846863195543,0.013880574112761224,0.018472872150372206,-0.14364270222884315,0,0.03424606982746627,-0.12786950455174892,0,1.948277363806179
2017-01-25,12.102071291877927,10.81,1.2920712918779262,1.6694482232950933,0.006620571466932956,0.04755735801985733,-0.0653476294288365,0,-0.01622264327856107,-0.12912763072725486,1,1.2920712918779262
2017-01-26,12.270870522276248,10.63,1.6408705222762467,2.6924560708751226,0.010814220571534916,0.04167428214477861,-0.10187372891832869,0,0.037435191439011736,-0.10611281962409556,0,1.6408705222762467
2017-01-27,11.728863027983765,10.58,1.148863027983765,1.3198862570680254,0.005500884923446359,0.05781398268632818,-0.045273320290392244,0,0.08343295013683052,-0.019654352839889883,0,1.148863027983765
2017-01-30,11.508610876507078,11.88,0.3713891234929232,0.13792988104884174,0.0004990761531864507,0.06262389539846815,0.09438468228338205,1,0.0812985744236933,0.11305936130860714,1,-0.3713891234929232
2017-01-31,11.346318840741983,11.99,0.6436811592580174,0.4143254347837451,0.001494774964440282,0.06521316775465243,0.1203927766855662,1,0.07087356022636272,0.12605316915727657,1,-0.6436811592580174
2017-02-01,11.286249622502535,11.81,0.5237503774974659,0.27431445792873804,0.0010134508921715302,0.0646197107618432,0.10998120377911771,1,0.01664002887370813,0.0620015218909825,1,-0.5237503774974659
2017-02-02,12.253393204525514,11.93,0.3233932045255141,0.10458316473328101,0.0003609023381845322,0.030946580987645165,0.004199922175325774,1,-0.0029830286557991303,-0.0297296874681187,1,0.3233932045255141
