,HAR-n,HAR-ged,HAR-ss,HAR-st,HAR-E-n,HAR-E-ged,HAR-E-ss,HAR-E-st,M1-n,M2-n,M3-n,M4-n,M8-n,M9-n,M1-E-n,M2-E-n,M3-E-n,M4-E-n,M8-E-n,M9-E-n,M1-st,M2-st,M3-st,M4-st,M8-st,M1-E-st,M2-E-st,M3-E-st,M8-E-st,M1-ged,M2-ged,M3-ged,M4-ged,M5-ged,M6-ged,M7-ged,M8-ged,M1-E-ged,M2-E-ged,M3-E-ged,M4-E-ged,M5-E-ged,M6-E-ged,M7-E-ged,M8-E-ged
M8-st,0.985562817,0.196820265,-2.768898361,-2.676891283,0.97840129,0.79795167,1.03846102,0.880448058,1.107666859,1.046207456,1.328306495,1.549542775,1.642926978,0.938161083,0.898060661,0.753963291,1.58691751,1.636044136,1.452132884,0.989312397,-2.668497409,-2.148344772,1.366235346,1.29527092,,,,,,,,,,,,,,,,,,,,,
M1-E-st,-0.405474414,-1.599266681,-2.171475984,-1.695107014,-0.095807186,-1.770740948,0.629818289,-1.673149817,0.188620879,-0.567390884,1.181760202,1.350368634,1.880408126,-0.477452402,-0.512920302,-0.669876188,1.619577011,1.695199119,1.92525848,0.028725819,-1.647995515,-1.697538994,0.164164162,-0.445979161,-1.118582682,,,,,,,,,,,,,,,,,,,,
M2-E-st,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,20.06982245,,,,,,,,,,,,,,,,,,,
M3-E-st,3.982305908,3.865093458,3.480487904,3.75849676,3.993142697,3.933763693,4.02523493,3.958018852,3.995423642,3.962199396,4.35073525,4.205810947,4.066952458,3.98174728,3.984224835,3.982116417,4.16921402,4.095007147,4.060615734,3.997698596,3.770852245,3.701734887,4.004037337,3.91251776,3.838852689,3.983677331,-20.06982245,,,,,,,,,,,,,,,,,,
M8-E-st,-1.888454006,-2.015887536,-2.284058819,-1.934639372,-1.941269609,-2.492102158,-0.908869014,-2.716578301,-1.375213726,-1.643503233,1.02198484,1.135610446,1.275209666,-1.903302403,-2.15478582,-1.982350381,1.328122139,1.224301448,1.103054086,-1.825571646,-1.894890877,-1.88860686,-0.39134491,-0.915455822,-1.491831531,-2.183215458,-20.06982245,-4.023487867,,,,,,,,,,,,,,,,,
M1-ged,1.25164205,-1.816763561,-2.354867172,-1.851669053,1.236485834,1.116194665,1.269479562,1.171976781,1.418074642,1.432665053,1.368440842,1.614324287,1.992140543,1.143253029,1.116005104,0.867751062,1.77687303,1.920163011,1.801889957,1.243982921,-1.760809156,-1.782380357,1.27202373,0.779863808,-0.498095032,1.518664343,-20.06982245,-3.878512336,1.966523189,,,,,,,,,,,,,,,,
M2-ged,1.458859774,1.45562605,-2.531571294,-1.17556218,1.439176284,1.461715072,1.432074498,1.444649729,1.532801979,1.618336882,1.452567252,1.683027461,1.877805891,1.393976651,1.3848336,1.232213754,1.77446002,1.870529087,1.754402305,1.441166786,-0.621788944,-1.950870793,1.614338034,1.669042424,1.387822713,1.578137621,-20.06982245,-3.783105948,1.833078107,1.558822785,,,,,,,,,,,,,,,
M3-ged,-1.128128292,-1.649186596,-2.270203165,-1.847863926,-0.933752937,-1.357370287,-0.670003307,-1.19396559,-0.936221164,-1.126307046,1.133479136,1.461097438,0.103065609,-1.193748651,-1.043874097,-1.102989299,1.295303397,0.613371188,-0.092642845,-0.901327881,-1.805341238,-1.828697841,-1.646934937,-1.40027281,-1.504504104,-0.896951195,-20.06982245,-4.085122095,-0.447312977,-1.575523332,-1.698458916,,,,,,,,,,,,,,
M4-ged,-0.929330026,-1.848170859,-2.393331393,-2.028753815,-0.658687147,-1.349431283,-0.314040493,-1.064039927,-0.653063355,-1.034564929,1.111503074,1.448709247,0.697620255,-1.006280521,-0.806330247,-0.863686451,1.358186762,1.296039995,0.391897025,-0.611213296,-1.984173045,-1.968947148,-0.974272954,-1.514192904,-1.602486735,-0.644584076,-20.06982245,-4.013649884,0.00528708,-1.757981398,-1.865150047,0.875081149,,,,,,,,,,,,,
M5-ged,1.355866052,-1.037716485,-2.3266945,-1.745072555,1.347856681,1.367144807,1.362090017,1.347303812,1.496760281,1.5445944,1.400647715,1.649608387,2.03615979,1.242048252,1.241078614,0.99186142,1.825684373,1.973525932,1.86768229,1.353187168,-1.622552633,-1.723689381,1.37874124,0.936706365,-0.27819522,1.62506975,-20.06982245,-3.871367965,2.05852764,1.571794181,-1.440025715,1.644841084,1.839061326,,,,,,,,,,,,
