,0,1,2,3
0,1.1379608951941276,2.288678073764412,5.238047325329979,3.1137674040734487
1,1.1088430013783896,2.319269037621209,5.379008868868409,3.093437042739494
2,1.248228243025037,2.454875245123717,6.026412469121228,3.582222489257589
3,1.1141755269414033,2.3518420625675045,5.531161087261773,3.122394110626976
0,1.1356429431123807,2.2856483005921375,5.224188153999727,3.1136843675050856
1,1.1129892888524897,2.300977163563841,5.2944959072423,3.0858472530810643
2,1.1394498725512217,2.2783062488216723,5.190679363419879,3.1276684152237713
3,1.1166201941604115,2.294800746159164,5.266110464572656,3.087587801511312
0,1.1379608951941276,2.288678073764412,5.238047325329979,3.1137674040734487
1,1.8127227381038338,3.5924902822162093,12.905986427817899,7.831015134593164
2,2.250938956737063,4.088805254229182,16.718328407012166,10.606183366353584
3,1.8486124402564226,3.7293342335413104,13.907933825463152,8.029110938160994
0,1.8563421647344178,3.427569820673239,11.748234875589977,7.934759131809822
1,1.8268279181526494,3.4388636854993493,11.825783447446168,7.80025617946421
0,1.1379608951941276,2.288678073764412,5.238047325329979,3.1137674040734487
1,2.516459598562203,4.937450777861627,24.378420183806387,13.550247125664905
2,3.0824681088797736,5.481299462740536,30.04464380023968,19.3637213200937
3,1.8486124402564226,3.7293342335413104,13.907933825463152,8.029110938160994
0,2.3498066925176917,4.429890142062692,19.62392667074421,12.161580539974342
1,2.229171839991791,4.531043290665253,20.53035330188261,11.678487143974964
