,Date_min,Min_val,Date_max,Max_val,Skew,Kurtosis,ADF
0,2020-03-16,-27.204908183392554,2020-03-13,12.857053395084504,-4.916801745527513,48.79224883785279,1.7693754351085124e-09
1,2020-03-16,-28.244624861317988,2020-03-13,11.868201800179492,-5.261921426753035,51.56004562585285,1.9721329348333542e-08
2,2020-03-16,-30.886874589068054,2020-03-13,8.041979970390173,-5.95759955695698,56.775378532642236,1.0721122547260877e-05
3,2020-03-16,-29.058756263902332,2020-03-13,10.66445529656309,-5.537378293992096,53.812440796645745,2.0788484796386903e-07
0,2020-03-16,-27.17928930933013,2020-03-13,13.426643617511745,-4.8492165479039535,48.39082298318918,7.509778773385814e-10
1,2020-03-16,-27.696804090870515,2020-03-13,12.848739331056038,-5.024165914432902,49.66472753230943,2.774529898718395e-09
2,2020-03-16,-26.88546520028153,2020-03-13,13.641703508773391,-4.773772284044779,47.56186109469915,1.504247129152004e-10
3,2020-03-16,-27.492920678769323,2020-03-13,13.156205057873366,-4.940846746120236,49.00149790099059,1.2736883779750832e-09
0,2020-03-16,-35.00887329824825,2020-04-06,9.609375440525495,-4.038170922101361,27.832103735622105,2.1256719293969825e-07
1,2020-03-16,-37.37469461288787,2020-04-06,7.06270999766337,-4.429337381851838,30.65998503585295,1.448305527552534e-06
2,2020-03-16,-42.548654565911676,2020-04-27,5.880210590775398,-4.7570811309881655,32.614851984410635,6.584769336540133e-06
3,2020-03-16,-39.08876973313113,2020-04-06,6.605069819131388,-4.58372284036267,31.945239040895924,1.6420267439634783e-07
0,2020-03-16,-34.95117675846251,2020-04-06,8.480277766813169,-4.130015921479479,28.240985577536552,2.1421637253880286e-07
1,2020-03-16,-35.227660752997494,2020-04-06,8.026348781254292,-4.1703353560633385,28.501245646871777,2.80809945520658e-07
0,2020-03-12,-41.6626353925249,2020-04-03,12.122593622898234,-4.159900019576455,27.071969970176973,1.435583525551087e-06
1,2020-03-12,-45.29629568138125,2018-02-15,6.70220053137459,-4.4802493924303795,28.27639392271811,1.2187739572638511e-05
2,2020-03-16,-49.66103008585226,2018-03-09,5.613890003356403,-4.728941127773088,30.049873568974125,6.138687602991094e-06
3,2020-03-16,-52.52425449032675,2017-05-25,11.292531992903545,-2.569507484668725,7.075944112338784,0.20152752115300654
0,2020-03-12,-41.340800077913435,2020-04-03,10.995791704710056,-4.228963977648948,27.212342353245926,3.3371314909407888e-06
1,2020-03-12,-42.45663736875524,2020-04-03,10.062331639508486,-4.3175212323370635,27.959286737519122,3.666429626678187e-06
0,2020-03-16,-27.00187396058121,2020-03-13,12.804946388347346,-4.9214176508719145,48.73674996275053,1.7739723567997002e-09
1,2020-03-16,-27.47250878880611,2020-03-13,12.566645018018775,-5.025342304362678,50.07473204186983,2.0122169274715393e-09
2,2020-03-16,-24.17538769931231,2020-03-13,9.893484736527768,-4.140863215902453,38.039587910206016,4.71067666389425e-09
3,2020-03-16,-25.258427622463344,2020-03-13,8.922442763156909,-4.638167644243691,43.213407579856174,8.160391206364145e-09
